"amd64_code","aarch64_code"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x53 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x54 ;jmp 0x1000","mov w0, # 0x54;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x55 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x56 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x57 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x58 ;jmp 0x1000","mov x29, # 0x18;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x59 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x5a ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x5b ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x5c ;jmp 0x1000","mov w0, # 0x5c;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x5d ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x5e ;jmp 0x1000","mov w26, # 0x5e;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x5f ;jmp 0x1000","mov w26, # 0x5f;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x60 ;jmp 0x1000","mov w26, # 0x60;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x61 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x62 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x63 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000];jmp qword ptr [0x2000]","adrp x0, 0x1000;ldr x0, [];ldr x1, [];adrp x0, 0x2000;ldr x0, [];str x1, []"
"push 0x64 ;jmp 0x1000","mov w26, # 0x64;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x65 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x66 ;jmp 0x1000","mov w3, # 0x10b;b 0x1000"
"jmp qword ptr [0x1000];jmp qword ptr [0x2000]","adrp x0, 0x1000;ldr x0, [];ldr x1, [];adrp x0, 0x2000;ldr x0, [];str x1, []"
"push 0x67 ;jmp 0x1000","mov w1, # 0x67;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x68 ;jmp 0x1000","mov w1, # 0x68;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x69 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x6a ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x6b ;jmp 0x1000","mov w0, # 0x6b;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x6c ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x6d ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x6e ;jmp 0x1000","mov w0, # 0x6e;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x6f ;jmp 0x1000","mov w1, # 0x3d;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x70 ;jmp 0x1000","mov w1, # 0x70;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"push 0x71 ;jmp 0x1000","stp x29, x30, []!;mov x29, sp;b 0x1000"
"jmp qword ptr [0x1000]","adrp x0, 0x1000;ldr x0, [];b 0x2000"
"add rax, 0x1;jne 0x1000","adds x0, x0, # 0x1;b.ne 0x1000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"add rax, 0x1;jne 0x1000","adds x0, x0, # 0x1;b.ne 0x1000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"mov rdi, r13;call 0x1000 ;mov rdi, rbp;call 0x2000 ;call 0x3000","mov x0, x22;bl 0x1000 ;mov x0, x20;bl 0x2000 ;bl 0x3000"
"mov rdi, r13;call 0x1000 ;mov rdi, rbp;call 0x2000 ;call 0x3000","mov x0, x22;bl 0x1000 ;mov x0, x20;bl 0x2000 ;bl 0x3000"
"mov rdi, rax;mov rax, rdx;add rax, 0x1;jne 0x1000","mov x0, x1;b.ne 0x1000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"mov rdi, qword ptr [rsp+0x18];mov rbp, rax;call 0x1000 ;mov rdi, rbp;call 0x2000 ;call 0x3000","mov x0, x24;bl 0x1000 ;mov x19, x0;bl 0x2000 ;mov x20, x0;b 0x3000"
"add rax, 0x1;jne 0x1000","adds x0, x0, # 0x1;b.ne 0x1000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"add rax, 0x1;jne 0x1000","adds x0, x0, # 0x1;b.ne 0x1000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"add rax, 0x1;jne 0x1000","adds x0, x0, # 0x1;b.ne 0x1000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"mov rdi, r12;mov esi, 0xa0;call 0x1000 ;mov rdi, rbp;call 0x2000 ;call 0x3000","mov x0, x21;bl 0x1000 ;mov w1, # 0xa0;mov x0, x20;bl 0x2000 ;bl 0x3000"
"add rax, 0x1;jne 0x1000","adds x0, x0, # 0x1;b.ne 0x1000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"add rax, 0x1;jne 0x1000","adds x0, x0, # 0x1;b.ne 0x1000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"add rax, 0x1;jne 0x1000","adds x0, x0, # 0x1;b.ne 0x1000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"mov rdi, qword ptr [rsp];test rdi, rdi;je 0x1000","ldr x0, [];cbz x0, 0x1000"
"mov rdi, rbp;call 0x1000 ;call 0x2000","mov x0, x20;bl 0x1000 ;bl 0x2000"
"call 0x1000","mov x0, x19;bl 0x1000"
"mov esi, 0x10;mov rdi, r12;call 0x1000 ;mov rdi, qword ptr [rsp+0x10];test rdi, rdi;je 0x2000","mov x0, x24;mov w1, # 0x10;bl 0x1000 ;cbz x0, 0x2000"
"mov rdi, rbp;call 0x1000 ;call 0x2000","mov x0, x20;bl 0x1000 ;bl 0x2000"
"call 0x1000","mov x0, x19;bl 0x1000"
"mov rbp, rax;jmp 0x1000","mov x20, x0;b 0x1000"
"mov rdi, qword ptr [rsp+0x10];test rdi, rdi;je 0x1000","ldr x0, [];cbz x0, 0x1000"
"mov rdi, rbp;call 0x1000 ;call 0x2000","mov x0, x20;bl 0x1000 ;bl 0x2000"
"call 0x1000","mov x0, x19;bl 0x1000"
"mov rdi, qword ptr [r13];test rdi, rdi;je 0x1000","ldr x0, [];cbz x0, 0x1000"
"call 0x1000 ;call 0x2000 ;call 0x3000"," bl 0x1000 ;bl 0x2000"
"mov rdi, r13;mov esi, 0x20;call 0x1000 ;mov rdi, rbp;call 0x2000 ;call 0x3000","mov x0, x19;bl 0x1000 ;mov w1, # 0x20;mov x0, x22;bl 0x2000"
"mov rdi, r13;mov esi, 0x38;call 0x1000 ;mov rdi, rbp;call 0x2000 ;call 0x3000","mov x0, x22;bl 0x1000 ;mov w1, # 0x38;mov x0, x20;bl 0x2000"
"add rax, 0x1;jne 0x1000","adds x0, x0, # 0x1;b.ne 0x1000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"add rax, 0x1;jne 0x1000","adds x0, x0, # 0x1;b.ne 0x1000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"add rax, 0x1;jne 0x1000","adds x0, x0, # 0x1;b.ne 0x1000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"add rax, 0x1;jne 0x1000","adds x0, x0, # 0x1;b.ne 0x1000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"lea rax, [0x1000];mov rsi, qword ptr [r12+0x18];mov rdi, rax;call qword ptr [rax+0x8];call qword ptr [rax+0x8];call qword ptr [rax+0x8]","ldr x1, [];ldr x1, [];blr x1"
"mov rdi, r12;mov esi, 0xa0;call 0x1000 ;mov rdi, rbp;call 0x2000 ;call 0x3000","mov x0, x21;bl 0x1000 ;mov w1, # 0xa0;mov x0, x20;bl 0x2000 ;bl 0x3000"
"add rax, 0x1;jne 0x1000","adds x0, x0, # 0x1;b.ne 0x1000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"add rax, 0x1;jne 0x1000","adds x0, x0, # 0x1;b.ne 0x1000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"add rax, 0x1;jne 0x1000","adds x0, x0, # 0x1;b.ne 0x1000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"add rax, 0x1;jne 0x1000","adds x0, x0, # 0x1;b.ne 0x1000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"call 0x1000 ;call 0x2000"," bl 0x1000 ;bl 0x2000"
"lea rax, [0x1000];mov rsi, qword ptr [r12+0x18];mov rdi, rax;call qword ptr [rax+0x8];call qword ptr [rax+0x8];call qword ptr [rax+0x8]","ldr x1, [];ldr x1, [];blr x1"
"mov rdi, r12;mov esi, 0xa0;call 0x1000 ;mov rdi, rbp;call 0x2000 ;call 0x3000","mov x0, x21;bl 0x1000 ;mov w1, # 0xa0;mov x0, x20;bl 0x2000 ;bl 0x3000"
"mov rdi, qword ptr [rsp+0x10];test rdi, rdi;je 0x1000","ldr x0, [];cbz x0, 0x1000"
"mov rdi, rbp;call 0x1000 ;call 0x2000","mov x0, x20;bl 0x1000 ;bl 0x2000"
"call 0x1000","mov x0, x19;bl 0x1000"
