"amd64_code","aarch64_code"
"add rsp, 0x58;mov eax, r8d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0x90;ret"
"mov rax, qword ptr [rsp+0xa8];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0xb8;mov eax, r12d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xf0;ret"
"endbr64","ldp x29, x30, [] # 0x10;ret"
"mov rax, qword ptr [rsp+0xa8];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0xb8;mov eax, r12d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xf0;ret"
"mov rcx, qword ptr [rsp+0x38];xor rcx, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x40;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0x70;ret"
"mov rcx, qword ptr [rsp+0x38];xor rcx, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x40;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0x70;ret"
"mov rcx, qword ptr [rsp+0x38];xor rcx, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x40;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;retn","ldp x19, x20, [];ldp x21, x22, [];ldp x29, x30, [] # 0x60;ret"
"mov rax, qword ptr [rsp+0x88];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x98;mov eax, ebp;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xd0;ret"
"add rsp, 0x18;mov eax, r12d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [] # 0x60;ret"
"endbr64","ldp x29, x30, [] # 0x10;ret"
"mov eax, r12d;pop rbx ;pop rbp ;pop r12 ;retn","mov w0, w21;ldp x19, x20, [];ldr x21, [];ldp x29, x30, [] # 0x30;ret"
"mov rbx, qword ptr [rsp+0x38];xor rbx, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x48;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0x90;ret"
"mov rax, qword ptr [rsp+0x8];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"add rsp, 0x10;mov eax, r12d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;retn","ldp x19, x20, [];ldp x29, x30, [] # 0x40;ret"
"mov rax, qword ptr [rsp+0x8];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"add rsp, 0x10;mov eax, r12d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;retn","ldp x19, x20, [];ldp x29, x30, [] # 0x40;ret"
"mov rax, qword ptr [rsp+0x18];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"add rsp, 0x28;mov eax, r12d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;retn","ldp x19, x20, [];ldp x29, x30, [] # 0x60;ret"
"mov rax, qword ptr [rsp+0x68];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"add rsp, 0x78;mov eax, r13d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xb0;ret"
"mov rax, qword ptr [rsp+0x68];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"add rsp, 0x78;mov eax, r13d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xb0;ret"
"mov rax, qword ptr [rsp+0x68];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"add rsp, 0x78;mov eax, r13d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xb0;ret"
"mov rax, qword ptr [rsp+0x68];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"add rsp, 0x78;mov eax, r13d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xb0;ret"
"mov rax, qword ptr [rsp+0x68];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"add rsp, 0x78;mov eax, r13d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xb0;ret"
"mov rax, qword ptr [rsp+0x68];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"add rsp, 0x78;mov eax, r13d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xb0;ret"
"mov rax, qword ptr [rsp+0x68];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"add rsp, 0x78;mov eax, r13d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xb0;ret"
"mov rax, qword ptr [rsp+0x68];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"add rsp, 0x78;mov eax, r13d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xb0;ret"
"mov rcx, qword ptr [rsp+0x18];xor rcx, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x1, x1, x0;cbnz x1, 0x1000"
"add rsp, 0x28;pop rbp ;pop r12 ;retn","ldp x19, x20, [];ldp x29, x30, [] # 0x60;ret"
"add rsp, 0x18;mov eax, r8d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [] # 0x60;ret"
"mov rax, qword ptr [rsp+0x68];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"add rsp, 0x78;mov eax, r12d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xb0;ret"
"mov rax, qword ptr [rsp+0x68];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"add rsp, 0x78;mov eax, r12d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xb0;ret"
"mov rdx, qword ptr [rsp+0x28];xor rdx, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x1, x1, x0;cbnz x1, 0x1000"
"add rsp, 0x30;pop rbp ;pop r12 ;pop r13 ;retn","ldp x19, x20, [];ldp x21, x22, [];ldp x29, x30, [] # 0x60;ret"
"mov rcx, qword ptr [rsp+0x18];xor rcx, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x1, x1, x0;cbnz x1, 0x1000"
"add rsp, 0x28;pop rbp ;pop r12 ;retn","ldp x19, x20, [];ldp x29, x30, [] # 0x60;ret"
"mov rbx, qword ptr [rsp+0x48];xor rbx, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x58;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0x90;ret"
"add rsp, 0x8;retn","ldp x29, x30, [] # 0x10;ret"
"mov rax, qword ptr [rsp+0x68];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"add rsp, 0x78;mov eax, r12d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xb0;ret"
"mov rax, qword ptr [rsp+0x68];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"add rsp, 0x78;mov eax, r12d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xb0;ret"
"mov rdi, rax;call 0x1000 ;call 0x2000 ;mov dword ptr [rsp+0x4] 0x3000;jmp 0x4000"," bl 0x1000 ;bl 0x2000 ;mov w25, # 0x3000;b 0x4000"
"call 0x1000 ;call 0x2000 ;mov dword ptr [rsp+0x4] 0x3000;jmp 0x4000"," bl 0x1000 ;mov w8, # 0x2000;b 0x3000"
"mov rcx, qword ptr [rsp+0x28];xor rcx, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];cmp x1, x0;b.ne 0x1000"
"add rsp, 0x38;pop rbp ;pop r12 ;retn","ldp x19, x20, [];ldp x21, x22, [];ldp x29, x30, [];add sp, sp, # 0x50;ret"
"add rsp, 0x8;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x29, x30, [] # 0x40;ret"
"mov rcx, qword ptr [rsp+0x38];xor rcx, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x40;pop rbp ;pop r12 ;pop r13 ;retn","ldp x19, x20, [];ldp x21, x22, [];ldp x29, x30, [] # 0x60;ret"
"mov rax, qword ptr [rsp+0x68];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"add rsp, 0x78;mov eax, r15d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xb0;ret"
"mov rax, qword ptr [rsp+0x68];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"add rsp, 0x78;mov eax, r15d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xb0;ret"
"mov eax, r12d;pop rbx ;pop rbp ;pop r12 ;retn","mov w0, w21;ldp x19, x20, [];ldr x21, [];ldp x29, x30, [] # 0x30;ret"
"add rsp, 0x8;pop rbx ;pop rbp ;pop r12 ;pop r13 ;retn","ldp x19, x20, [];ldp x21, x22, [];ldp x29, x30, [] # 0x30;ret"
"mov rax, qword ptr [rsp+0xb8];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"add rsp, 0xc8;mov eax, r8d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0x100;ret"
"mov rax, qword ptr [rsp+0xb8];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"add rsp, 0xc8;mov eax, r8d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0x100;ret"
"mov rcx, qword ptr [rsp+0x68];xor rcx, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x78;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xb0;ret"
"mov rcx, qword ptr [rsp+0x68];xor rcx, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x78;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xb0;ret"
"mov rcx, qword ptr [rsp+0x58];xor rcx, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x68;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xb0;ret"
"add rsp, 0x18;retn","ldp x29, x30, [] # 0x10;ret"
"mov rcx, qword ptr [rsp+0x48];xor rcx, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x58;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0x90;ret"
"mov rcx, qword ptr [rsp+0x48];xor rcx, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x58;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0x90;ret"
"mov rcx, qword ptr [rsp+0x48];xor rcx, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x58;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0x90;ret"
"mov rax, qword ptr [r15];mov rdi, r15;call qword ptr [rax+0x10];mov rdi, rbx;call 0x1000 ;call 0x2000 ;mov dword ptr [rsp+0x10] 0x3000;jmp 0x4000","ldr x8, [];mov x0, x21;bl 0x1000 ;mov w0, # 0x2000;b 0x3000"
"mov rax, qword ptr [rsp+0x48];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x0, x0, x1;cbnz x0, 0x1000"
"mov eax, dword ptr [rsp+0x10];add rsp, 0x58;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0x80;ret"
"mov rsi, qword ptr [rsp+0x28];xor rsi, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];cmp x1, x0;b.ne 0x1000"
"add rsp, 0x30;pop rbp ;pop r12 ;pop r13 ;retn","ldp x19, x20, [];ldp x21, x22, [];ldp x29, x30, [] # 0x60;ret"
"mov eax, r12d;pop rbx ;pop rbp ;pop r12 ;retn","mov w0, w21;ldp x19, x20, [];ldr x21, [];ldp x29, x30, [] # 0x30;ret"
"mov rcx, qword ptr [rsp+0x48];xor rcx, qword ptr [fs:0x28];jne 0x1000","ldr x1, [];ldr x0, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x50;pop rbp ;pop r12 ;pop r13 ;retn","ldp x19, x20, [];ldp x21, x22, [];ldp x29, x30, [] # 0xa0;ret"
"mov rbx, qword ptr [rsp+0x48];xor rbx, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x0, 0x1000"
"add rsp, 0x58;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0x90;ret"
"add rsp, 0x18;mov eax, r15d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [] # 0x60;ret"
"mov rax, qword ptr [rsp+0x58];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
"add rsp, 0x68;mov eax, r8d;pop rbx ;pop rbp ;pop r12 ;pop r13 ;pop r14 ;pop r15 ;retn","ldp x20, x19, [];ldp x22, x21, [];ldp x24, x23, [];ldp x26, x25, [];ldp x28, x27, [];ldp x29, x30, [];add sp, sp, # 0xb0;ret"
"mov rax, qword ptr [rsp+0x58];xor rax, qword ptr [fs:0x28];jne 0x1000","ldr x0, [];ldr x1, [];eor x0, x0, x1;cbnz x1, 0x1000"
